DEBUG 2015-06-30 21:00:03,200  6677ms LoggingFilterAttribute OnActionExecuted   - Termina ejecucion de: Controller Producto, Action Index, Hora Fin 09:00:03 p.m.
DEBUG 2015-06-30 21:03:03,547  4299ms LoggingFilterAttribute OnActionExecuting  - Inicia ejecucion de: Controller Producto, Action Index, Hora Inicio 09:03:03 p.m.
DEBUG 2015-06-30 21:03:04,281  5033ms LoggingFilterAttribute OnActionExecuted   - Termina ejecucion de: Controller Producto, Action Index, Hora Fin 09:03:04 p.m.
DEBUG 2015-06-30 21:12:06,294  6228ms LoggingFilterAttribute OnActionExecuting  - Inicia ejecucion de: Controller Producto, Action Index, Hora Inicio 09:12:06 p.m.
DEBUG 2015-06-30 21:12:06,936  6871ms LoggingFilterAttribute OnActionExecuted   - Termina ejecucion de: Controller Producto, Action Index, Hora Fin 09:12:06 p.m.
DEBUG 2015-07-01 15:37:00,469 82850ms LoggingFilterAttribute OnActionExecuting  - Inicia ejecucion de: Controller Producto, Action Index, Hora Inicio 03:37:00 p.m.
DEBUG 2015-07-06 10:48:35,679 35948ms LoggingFilterAttribute OnActionExecuting  - Inicia ejecucion de: Controller Producto, Action Index, Hora Inicio 10:48:35 a.m.
DEBUG 2015-07-06 12:14:45,681 253213ms LoggingFilterAttribute OnActionExecuting  - Inicia ejecucion de: Controller Producto, Action Index, Hora Inicio 12:14:45 p.m.
DEBUG 2015-07-06 12:14:47,787 255319ms LoggingFilterAttribute OnActionExecuted   - Termina ejecucion de: Controller Producto, Action Index, Hora Fin 12:14:47 p.m.
DEBUG 2015-07-09 11:33:48,073  4470ms LoggingFilterAttribute OnActionExecuting  - Inicia ejecucion de: Controller Producto, Action Index, Hora Inicio 11:33:48 a.m.
DEBUG 2015-07-09 11:35:19,459  4538ms LoggingFilterAttribute OnActionExecuting  - Inicia ejecucion de: Controller Producto, Action Index, Hora Inicio 11:35:19 a.m.
DEBUG 2015-07-09 11:37:32,414  5080ms LoggingFilterAttribute OnActionExecuting  - Inicia ejecucion de: Controller Producto, Action Index, Hora Inicio 11:37:32 a.m.
DEBUG 2015-07-09 11:38:51,453  4861ms LoggingFilterAttribute OnActionExecuting  - Inicia ejecucion de: Controller Producto, Action Index, Hora Inicio 11:38:51 a.m.
DEBUG 2015-07-09 11:38:51,527  4935ms LoggingFilterAttribute OnActionExecuted   - Termina ejecucion de: Controller Producto, Action Index, Hora Fin 11:38:51 a.m.
DEBUG 2015-07-09 11:39:59,534  5006ms LoggingFilterAttribute OnActionExecuting  - Inicia ejecucion de: Controller Producto, Action Index, Hora Inicio 11:39:59 a.m.
DEBUG 2015-07-09 11:39:59,614  5086ms LoggingFilterAttribute OnActionExecuted   - Termina ejecucion de: Controller Producto, Action Index, Hora Fin 11:39:59 a.m.
DEBUG 2015-07-09 11:55:29,839  5127ms LoggingFilterAttribute OnActionExecuting  - Inicia ejecucion de: Controller Producto, Action Index, Hora Inicio 11:55:29 a.m.
DEBUG 2015-07-09 11:55:29,916  5204ms LoggingFilterAttribute OnActionExecuted   - Termina ejecucion de: Controller Producto, Action Index, Hora Fin 11:55:29 a.m.
DEBUG 2015-07-10 16:42:33,048 28954ms LoggingFilterAttribute OnActionExecuting  - Inicia ejecucion de: Controller Producto, Action Index, Hora Inicio 04:42:33 p.m.
DEBUG 2015-07-10 16:42:33,193 29098ms LoggingFilterAttribute OnActionExecuted   - Termina ejecucion de: Controller Producto, Action Index, Hora Fin 04:42:33 p.m.
DEBUG 2015-07-10 16:55:27,984  4711ms LoggingFilterAttribute OnActionExecuting  - Inicia ejecucion de: Controller Producto, Action Index, Hora Inicio 04:55:27 p.m.
DEBUG 2015-07-10 16:55:28,046  4774ms LoggingFilterAttribute OnActionExecuted   - Termina ejecucion de: Controller Producto, Action Index, Hora Fin 04:55:28 p.m.
DEBUG 2015-07-10 16:57:34,573  5158ms LoggingFilterAttribute OnActionExecuting  - Inicia ejecucion de: Controller Producto, Action Index, Hora Inicio 04:57:34 p.m.
DEBUG 2015-07-10 16:57:34,957  5541ms LoggingFilterAttribute OnActionExecuted   - Termina ejecucion de: Controller Producto, Action Index, Hora Fin 04:57:34 p.m.
DEBUG 2015-07-10 16:57:43,158 13742ms LoggingFilterAttribute OnActionExecuting  - Inicia ejecucion de: Controller Producto, Action Index, Hora Inicio 04:57:43 p.m.
DEBUG 2015-07-10 16:57:43,164 13748ms LoggingFilterAttribute OnActionExecuted   - Termina ejecucion de: Controller Producto, Action Index, Hora Fin 04:57:43 p.m.
DEBUG 2015-07-10 16:58:03,468 34052ms LoggingFilterAttribute OnActionExecuting  - Inicia ejecucion de: Controller Producto, Action Index, Hora Inicio 04:58:03 p.m.
DEBUG 2015-07-10 16:58:03,475 34059ms LoggingFilterAttribute OnActionExecuted   - Termina ejecucion de: Controller Producto, Action Index, Hora Fin 04:58:03 p.m.
DEBUG 2015-07-10 16:58:08,770 39355ms LoggingFilterAttribute OnActionExecuting  - Inicia ejecucion de: Controller Producto, Action Index, Hora Inicio 04:58:08 p.m.
DEBUG 2015-07-15 11:20:57,755 11728ms LoggingFilterAttribute OnActionExecuting  - Inicia ejecucion de: Controller Producto, Action Index, Hora Inicio 11:20:57 a.m.
DEBUG 2015-07-15 11:20:58,098 12071ms LoggingFilterAttribute OnActionExecuted   - Termina ejecucion de: Controller Producto, Action Index, Hora Fin 11:20:58 a.m.
DEBUG 2015-07-15 11:21:50,854 64827ms LoggingFilterAttribute OnActionExecuting  - Inicia ejecucion de: Controller Producto, Action Index, Hora Inicio 11:21:50 a.m.
DEBUG 2015-07-15 11:21:50,860 64833ms LoggingFilterAttribute OnActionExecuted   - Termina ejecucion de: Controller Producto, Action Index, Hora Fin 11:21:50 a.m.
DEBUG 2015-07-15 11:22:13,310 87283ms LoggingFilterAttribute OnActionExecuting  - Inicia ejecucion de: Controller Producto, Action Index, Hora Inicio 11:22:13 a.m.
DEBUG 2015-07-15 11:22:13,315 87288ms LoggingFilterAttribute OnActionExecuted   - Termina ejecucion de: Controller Producto, Action Index, Hora Fin 11:22:13 a.m.
DEBUG 2015-07-15 11:28:00,625 434598ms LoggingFilterAttribute OnActionExecuting  - Inicia ejecucion de: Controller Producto, Action Index, Hora Inicio 11:28:00 a.m.
DEBUG 2015-07-15 11:28:00,629 434602ms LoggingFilterAttribute OnActionExecuted   - Termina ejecucion de: Controller Producto, Action Index, Hora Fin 11:28:00 a.m.
DEBUG 2015-07-15 11:31:15,035  3453ms LoggingFilterAttribute OnActionExecuting  - Inicia ejecucion de: Controller Producto, Action Index, Hora Inicio 11:31:15 a.m.
DEBUG 2015-07-15 11:31:15,343  3761ms LoggingFilterAttribute OnActionExecuted   - Termina ejecucion de: Controller Producto, Action Index, Hora Fin 11:31:15 a.m.
DEBUG 2015-12-02 10:51:53,106 33376ms LoggingFilterAttribute OnActionExecuting  - Inicia ejecucion de: Controller Producto, Action Index, Hora Inicio 10:51:53 a.m.
DEBUG 2015-12-02 10:51:54,692 34961ms LoggingFilterAttribute OnActionExecuted   - Termina ejecucion de: Controller Producto, Action Index, Hora Fin 10:51:54 a.m.
DEBUG 2015-12-02 10:52:12,475 52745ms LoggingFilterAttribute OnActionExecuting  - Inicia ejecucion de: Controller Producto, Action Index, Hora Inicio 10:52:12 a.m.
DEBUG 2015-12-02 10:52:12,491 52760ms LoggingFilterAttribute OnActionExecuted   - Termina ejecucion de: Controller Producto, Action Index, Hora Fin 10:52:12 a.m.
DEBUG 2015-12-02 10:52:22,836 63106ms LoggingFilterAttribute OnActionExecuting  - Inicia ejecucion de: Controller Producto, Action Index, Hora Inicio 10:52:22 a.m.
DEBUG 2016-02-13 11:29:14,880 24640ms LoggingFilterAttribute OnActionExecuting  - Inicia ejecucion de: Controller Producto, Action Index, Hora Inicio 11:29:14 a.m.
DEBUG 2016-02-13 11:29:16,454 26214ms LoggingFilterAttribute OnActionExecuted   - Termina ejecucion de: Controller Producto, Action Index, Hora Fin 11:29:16 a.m.
DEBUG 2016-02-13 11:29:48,692 58452ms LoggingFilterAttribute OnActionExecuting  - Inicia ejecucion de: Controller Producto, Action Index, Hora Inicio 11:29:48 a.m.
DEBUG 2016-02-13 11:29:48,695 58455ms LoggingFilterAttribute OnActionExecuted   - Termina ejecucion de: Controller Producto, Action Index, Hora Fin 11:29:48 a.m.
DEBUG 2016-02-13 11:29:58,376 68136ms LoggingFilterAttribute OnActionExecuting  - Inicia ejecucion de: Controller Producto, Action Index, Hora Inicio 11:29:58 a.m.
DEBUG 2016-02-13 11:29:58,378 68138ms LoggingFilterAttribute OnActionExecuted   - Termina ejecucion de: Controller Producto, Action Index, Hora Fin 11:29:58 a.m.
DEBUG 2016-02-13 11:30:12,077 81837ms LoggingFilterAttribute OnActionExecuting  - Inicia ejecucion de: Controller Producto, Action Index, Hora Inicio 11:30:12 a.m.
DEBUG 2016-02-13 11:30:12,080 81840ms LoggingFilterAttribute OnActionExecuted   - Termina ejecucion de: Controller Producto, Action Index, Hora Fin 11:30:12 a.m.
DEBUG 2016-02-13 12:59:30,138 39457ms LoggingFilterAttribute OnActionExecuting  - Inicia ejecucion de: Controller Producto, Action Index, Hora Inicio 12:59:30 p.m.
DEBUG 2016-02-13 12:59:31,888 41207ms LoggingFilterAttribute OnActionExecuted   - Termina ejecucion de: Controller Producto, Action Index, Hora Fin 12:59:31 p.m.
DEBUG 2016-02-13 17:01:01,937 83085ms LoggingFilterAttribute OnActionExecuting  - Inicia ejecucion de: Controller Producto, Action Index, Hora Inicio 17:01:01
DEBUG 2016-02-13 17:01:01,977 83125ms LoggingFilterAttribute OnActionExecuted   - Termina ejecucion de: Controller Producto, Action Index, Hora Fin 17:01:01
DEBUG 2016-02-13 17:02:49,194 20208ms LoggingFilterAttribute OnActionExecuting  - Inicia ejecucion de: Controller Producto, Action Index, Hora Inicio 17:02:49
DEBUG 2016-02-13 17:02:49,617 20631ms LoggingFilterAttribute OnActionExecuted   - Termina ejecucion de: Controller Producto, Action Index, Hora Fin 17:02:49
DEBUG 2016-02-13 17:02:59,381 30395ms LoggingFilterAttribute OnActionExecuting  - Inicia ejecucion de: Controller Producto, Action Index, Hora Inicio 17:02:59
DEBUG 2016-02-13 17:02:59,385 30399ms LoggingFilterAttribute OnActionExecuted   - Termina ejecucion de: Controller Producto, Action Index, Hora Fin 17:02:59
DEBUG 2016-02-13 17:04:38,991 130005ms LoggingFilterAttribute OnActionExecuting  - Inicia ejecucion de: Controller Producto, Action Index, Hora Inicio 17:04:38
DEBUG 2016-02-13 17:04:38,992 130006ms LoggingFilterAttribute OnActionExecuted   - Termina ejecucion de: Controller Producto, Action Index, Hora Fin 17:04:38
DEBUG 2016-02-13 17:39:37,156  4534ms LoggingFilterAttribute OnActionExecuting  - Inicia ejecucion de: Controller Producto, Action Index, Hora Inicio 17:39:37
DEBUG 2016-02-13 17:39:37,243  4622ms LoggingFilterAttribute OnActionExecuted   - Termina ejecucion de: Controller Producto, Action Index, Hora Fin 17:39:37
DEBUG 2016-02-13 18:54:37,375  4297ms LoggingFilterAttribute OnActionExecuting  - Inicia ejecucion de: Controller Producto, Action Index, Hora Inicio 18:54:37
DEBUG 2016-02-13 18:54:37,463  4385ms LoggingFilterAttribute OnActionExecuted   - Termina ejecucion de: Controller Producto, Action Index, Hora Fin 18:54:37
DEBUG 2016-02-13 18:54:44,146 11068ms LoggingFilterAttribute OnActionExecuting  - Inicia ejecucion de: Controller Producto, Action Index, Hora Inicio 18:54:44
DEBUG 2016-02-13 18:54:44,147 11069ms LoggingFilterAttribute OnActionExecuted   - Termina ejecucion de: Controller Producto, Action Index, Hora Fin 18:54:44
